SKU;Inventario;Precio normal
UPDATECHECK;25122023;203006
00071;6.00;62845.62
00072;2.00;101082.36
01-00125-01;0.00;172057.22
096952;-6.00;3225.81
100140;13.00;12220.75
100141;12.00;13650.52
100334;11.00;47452.29
100648;10.00;24570.99
100796;9.00;7020.40
100815;7.00;28601.28
100935;1.00;22490.98
101687;0.00;1884.95
10-20-106;0.00;170914.20
10-20-156;0.00;327692.59
10-20-255;0.00;305846.49
10-20-310;0.00;693937.19
10-20-403;1.00;796742.85
10-20-500;2.00;1134715.96
10221;24.00;12350.63
10-25-100;1.00;285910.19
10-25-126;12.00;279102.67
10-25-412;0.00;293762.65
10-25-428;0.00;515629.72
10-25-552;13.00;984104.47
10-25-703;0.00;1078102.61
10260;42.00;11326.62
10-26-825;0.00;9218910.52
10303;63.00;8450.10
10-35-604;0.00;125387.92
10-35-606;14.00;161270.08
10-35-616;0.00;458083.45
10-35-622;0.00;780822.97
10-36-014;4.00;343650.09
10-36-016;2.00;334691.99
10-36-037;0.00;1651812.97
10-36-038;0.00;1651812.97
10-36-055;15.00;137639.64
10-36-065;14.00;137464.88
10-36-080;0.00;354816.27
10-37-100;3.00;661511.93
10-39-018;1.00;1355646.35
10-39-140;0.00;770910.15
10-39-145;0.00;924566.88
10-39-270;0.00;3267503.25
10-39-675;1.00;236394.94
10402;13.00;44592.23
10-40-550;3.00;130671.30
10-40-750;-1.00;296634.96
10-40-940;0.00;631450.69
10-40-960;0.00;1072011.53
10-40-980;0.00;1116063.86
10-41-052;20.00;295565.95
10-42-000;0.00;203040.83
10-50-236;20.00;86199.30
10-50-336;-1.00;205906.90
10-50-364;18.00;159974.22
10-50-536;3.00;254773.62
10-52-436;3.00;270837.25
10-53-336;0.00;166934.38
10647;23.00;11570.58
10656;-5.00;4368.25
10-76-559;0.00;639824.56
10-76-563;0.00;703216.14
10-78-038;0.00;358460.66
10-78-042;-1.00;392529.06
10-78-102;1.00;311060.68
10811;0.00;2151.60
10890;0.00;3064.39
10891;0.00;5150.87
10902;0.00;75403.67
10-92-090;0.00;615446.03
10-99-036;1.00;156765.90
10-99-045;16.00;152923.12
10-99-050;2.00;165761.62
10-99-062;0.00;318697.12
11139;3.00;12062.32
11141;1.00;16300.36
11143;1.00;17865.35
11145;0.00;26602.31
11186;3.00;569877.97
11-32-326;-1.00;154208.30
11-32-332;0.00;183764.83
11-32-351;2.00;297025.04
11-32-353;0.00;703589.87
11-33-327;2.00;335470.57
11-33-330;1.00;316532.72
11-33-340;0.00;300300.46
11556;82.00;3822.22
11873;0.00;3900.11
00073;7.00;133063.81
00074;2.00;169040.99
00075;5.00;201111.45
00076;6.00;268732.53
00149;19.00;333747.39
01-00051-00;0.00;1178460.38
096950;-2.00;3225.81
100376;0.00;16900.84
100437;0.00;4810.29
10067;3.00;61102.45
100795;16.00;6110.10
100850;52.00;10075.55
100933;-1.00;32761.23
100934;11.00;27301.07
100941;0.00;31201.42
101685;0.00;2275.16
101780;0.00;4160.25
10-20-050;3.00;215891.59
10-20-124;0.00;204325.88
10-20-224;1.00;158063.44
10-20-250;4.00;192760.43
10-20-260;0.00;584706.41
10-20-280;8.00;867421.62
10-20-313;4.00;693937.19
10-20-750;0.00;1696291.21
10-20-999;97.00;30604.70
10-25-125;14.00;260996.13
10-25-128;0.00;402416.91
10-25-409;0.00;268753.01
10-25-427;0.00;428153.29
10-25-551;0.00;945314.17
10-25-700;0.00;1062507.40
10-25-910;0.00;2886414.81
10-25-913;0.00;2954326.56
10314;16.00;87234.19
10-36-013;7.00;297337.78
10-36-015;18.00;289851.73
10-36-020;0.00;1165432.91
10-36-036;0.00;1651812.97
10-36-070;0.00;227457.29
10-36-167;0.00;346606.83
10-36-265;0.00;346606.83
10-37-070;3.00;503284.84
10380;0.00;26001.17
10-39-065;0.00;304686.70
10-39-090;0.00;667145.85
10-39-190;0.00;2726421.50
10-39-775;22.00;274835.32
10-40-065;2.00;718285.97
10-40-130;6.00;1197130.24
10-40-300;10.00;111605.29
10-40-700;3.00;227334.32
10-40-900;3.00;460534.02
10-40-920;0.00;645188.49
10-41-133;0.00;269864.57
10-50-362;65.00;113911.71
10-50-436;0.00;234772.34
10-52-136;1.00;272548.46
10-52-336;0.00;224947.45
10539;0.00;21580.91
10-55-136;13.00;526387.11
10638;0.00;5460.22
10652;20.00;3835.12
10752;13.00;4368.20
10754;0.00;21320.96
10-76-560;0.00;661439.12
10-76-561;0.00;661856.13
10-78-048;0.00;451778.66
10-78-101;-1.00;333279.33
10-78-200;0.00;293285.70
10889;0.00;1108.42
10-92-018;0.00;554084.52
10-92-019;43.00;595371.23
10-92-148;4.00;490208.87
10-92-149;20.00;490208.87
10-99-038;7.00;145212.69
11002-B;8.00;59362.26
11-32-052;0.00;184215.61
11-32-261;-1.00;372902.81
11-32-269;5.00;173484.43
11-32-325;0.00;147782.92
11-32-352;0.00;511258.60
11338;13.00;6760.12
11395;15.00;9490.56
11439;69.00;4550.35
11443;4.00;78003.58
11506;14.00;40301.91
11540;58.00;1820.03
11553;47.00;2799.13
11668;22.00;5590.32
11987;0.00;21320.99
12022;0.00;12740.62
12024;18.00;28601.48
12422;28.00;6370.19
12424;14.00;6370.19
12427;19.00;6760.14
12429;15.00;6760.17
12430;15.00;7800.59
12431;1.00;7800.54
12433;13.00;8125.38
12656;105.00;5200.35
12717;12.00;3380.17
12942;79.00;818.81
12952;-1.00;18850.98
130;41.00;366211.63
13019;6.00;16250.76
13292;662.00;2145.18
13294;523.00;2600.25
13422;114.00;3119.95
13423;90.00;2600.17
13547;0.00;205012.91
13790;16.00;7540.45
13B8775S345;3.00;5329114.35
13BB775S345;0.00;3912514.41
13BJ77KT345;0.00;5059285.68
14-00-080;0.00;304050.04
14-00-120;18.00;165636.74
14-00-180;0.00;216952.00
14-00-200;0.00;237675.31
14-00-220;0.00;253807.32
14-00-250;8.00;716881.47
14-01-200;0.00;404746.74
14168;7.00;23010.86
14196;0.00;21451.00
14197;15.00;27431.17
14-21-180;0.00;851358.30
14-21-200;3.00;1131858.98
14-30-180;0.00;543047.77
14374;7.00;6630.27
14376;28.00;7020.30
14382;44.00;5590.26
14384;10.00;11440.57
14386;19.00;4613.75
14387;2.00;3380.17
14397;4.00;5590.32
14447;23.00;2990.12
14449;56.00;3900.11
14450;53.00;6110.17
14451;54.00;6370.15
14460;90.00;8060.35
14461;73.00;9100.43
14500;-1.00;19110.72
14-50-003;109.00;55243.14
14509;4.00;79303.74
14524;19.00;52652.34
14534;0.00;13650.49
14543;13.00;27574.29
14578;88.00;8190.32
14621;22.00;4810.27
14626;38.00;23141.23
14874;1.00;5980.28
150;32.00;479990.18
150/P;20.00;46292.05
15040;13.00;21321.13
15143;7.00;22100.86
15147;0.00;12220.81
15159;4.00;25947.99
15312;5.00;16250.74
15313;5.00;18980.88
15315;117.00;2600.21
15316;117.00;2990.13
15321;22.00;6370.18
15405;15.00;49402.11
15411;15.00;84503.81
15421;1.00;7800.57
15481;5.00;22621.03
155/P;30.00;49840.84
1555JC;-1.00;185373.73
1559JB;0.00;238781.34
15830;2.00;55252.65
15831;3.00;67603.24
15852;0.00;4810.27
15854;0.00;7865.42
1600A0021D;24.00;74177.11
1600A0021E;0.00;135833.10
1600A002U5;0.00;183658.16
1600A01B6Z;7.00;200277.14
1600Z00037;0.00;152298.74
16012;0.00;18850.93
16-05-060;1.00;1327160.59
16-05-141;0.00;2712592.28
16540;15.00;44830.50
11875;0.00;5980.22
11985;5.00;16771.02
11997;19.00;10010.39
12279;21.00;27951.28
12-35-000;6.00;296850.88
1235630;9.00;307131.53
12-38-228;1.00;232560.24
12423;30.00;6370.19
12425;8.00;6760.14
12426;23.00;6760.14
12428;16.00;6760.14
12432;12.00;8125.40
12795;19.00;16900.78
12860;6.00;10985.48
12868;7.00;20801.01
12871;21.00;40951.93
12874;11.00;14196.58
12890;4.00;24961.26
12939;104.00;818.81
13291;544.00;2145.18
13295;709.00;2600.25
13417;117.00;1950.00
13420;118.00;2600.18
13426;112.00;7540.41
13568;9.00;79303.67
13975;0.00;258711.18
13988;54.00;1012.38
14-00-160;9.00;197988.01
14-01-320;4.00;983601.79
14166;14.00;8450.18
14-20-180;0.00;899548.38
14-22-250;0.00;1167965.64
14-22-315;0.00;1490143.64
14-30-200;0.00;529448.62
14-30-220;0.00;758190.71
14332;25.00;10712.70
14388;11.00;41602.17
14394;9.00;27301.29
14395;11.00;3250.25
14443;141.00;715.15
14445;121.00;1039.97
14448;46.00;3250.22
14459;77.00;5808.81
14-50-001;18.00;17762.79
14-50-002;91.00;35031.51
14503;-3.00;18460.84
14506;0.00;32241.53
14522;3.00;19500.97
14536;3.00;16250.76
14579;230.00;13000.51
14631;7.00;34581.51
14651;0.00;40041.73
14843;0.00;64157.99
14845;-1.00;107905.26
14863;0.00;12480.63
14958;22.00;34191.64
15030;13.00;12220.85
15110;16.00;8719.05
15314;5.00;27951.25
15326;1.00;5850.39
15424;36.00;10270.48
1570JB;0.00;348429.79
15824;26.00;6630.27
15850;0.00;3640.30
15855;15.00;6500.33
15962;0.00;4875.28
16000;22.00;14950.78
1600A015TE;0.00;436466.03
1600Z00036;0.00;108829.08
1600Z00038;0.00;173669.87
16018;0.00;15945.40
16-05-090;-1.00;2392067.15
16-05-130;0.00;2786780.97
16-05-140;0.00;3324526.92
16-05-150;1.00;4951015.94
16-05-160;0.00;4431813.88
16478;144.00;8255.31
16654;0.00;13780.53
16856;3.00;167706.64
16857;0.00;43551.63
16930;37.00;5070.28
16931;34.00;7410.22
16932;37.00;15471.04
16965;15.00;1924.02
16977;47.00;4030.01
17032;27.00;9750.37
17034;1.00;13910.54
17054;12.00;13000.58
17058;-1.00;1300.08
17102;4.00;21971.11
17360;0.00;20150.86
17420;9.00;7670.40
17421;13.00;10660.43
17432;11.00;8320.32
17434;10.00;7670.42
17468;3.00;27821.25
17538;44.00;2340.22
17550;31.00;4550.37
17556;0.00;10140.42
17662;11.00;9360.14
17664;8.00;27561.33
17690;8.00;8840.48
17700;11.00;2340.24
17701;12.00;2990.21
17964;2.00;36401.64
18024;9.00;20800.98
18165;7.00;12350.63
18174;14.00;13260.61
1831JB;6.00;241431.98
18397;-1.00;15600.69
18452;3.00;11180.47
18531;48.00;11830.53
18600-20;0.00;302430.51
19-00-500;0.00;2807386.86
19-01-300;0.00;2286083.54
19028;11.00;42200.42
19065;25.00;17550.87
19089;11.00;7150.37
19-10-030;0.00;995774.22
19-10-110;5.00;1149798.79
19-10-210;0.00;852203.80
19-10-800;0.00;8319131.54
19-11-020;0.00;987474.24
19-11-030;0.00;878443.47
19-11-230;0.00;1123808.38
19-11-330;0.00;1849304.36
19-13-011;0.00;1.48
19-13-122;1.00;88874.54
19-13-188;2.00;123748.44
19-13-244;7.00;162821.58
19-13-300;7.00;195380.37
19-13-500;0.00;4734478.24
19-13-600;0.00;5397434.57
19-20-000;1.00;1122744.68
19-20-900;0.00;7169332.88
19235;6.00;4940.13
19238;2.00;44202.06
19285;0.00;20020.89
19-30-000;0.00;892784.97
19-30-400;0.00;1542082.79
19-30-500;0.00;1920840.13
19-40-100;3.00;158492.67
19-40-102;0.00;192575.87
19-40-103;0.00;236998.79
19-41-020;0.00;355669.23
19-41-030;0.00;625921.07
19-60-000;1.00;1758502.70
19680;55.00;2600.18
19681;35.00;3119.92
19710;65.00;11960.51
19787;28.00;12935.58
19943;1.00;97504.53
19997;0.00;11960.52
19F4;0.00;44385.86
20055;126.00;4680.20
20069;104.00;3900.14
20072;105.00;5850.29
20074;1.00;10270.46
203/C;11.00;87449.69
205/C;8.00;120802.88
20531;10.00;5356.34
20532;10.00;11180.46
20-90-100;0.00;49620.12
20-90-250;0.00;90988.66
20-90-300;20.00;106617.90
21005;16.00;47144.76
21420;0.00;12480.57
21538;86.00;2145.03
21690;51.00;10400.47
21693;7.00;7832.26
21694;6.00;3900.13
221023;526.00;7287.36
22290;24.00;8736.41
22396;86.00;1820.02
22400;0.00;2730.03
22409;2.00;4680.20
22801;11.00;4875.22
22881;18.00;16380.76
22976;22.00;21581.06
23051;5.00;9497.99
23550;-2.00;5135.14
24005;16.00;25148.77
24006;6.00;47705.22
24-12-450;2.00;205763.09
16779;10.00;99714.68
16824;-1.00;119590.94
16950;56.00;10400.47
16951;0.00;5590.39
16956;0.00;1690.03
17025;0.00;12220.72
17030;34.00;9165.58
17036;0.00;14300.68
17038;-3.00;18200.90
17040;16.00;29251.19
17275;24.00;4160.20
17276;16.00;6825.34
17336;5.00;11960.55
17340;6.00;21971.07
17371;5.00;5330.21
17419;16.00;6500.24
17423;3.00;12480.59
17429;15.00;18850.92
17433;9.00;9100.35
17467;7.00;26651.27
17469;8.00;29901.31
17537;44.00;1430.20
17660;66.00;5720.37
17661;18.00;6630.28
17663;8.00;13390.71
17680;20.00;200208.06
17702;11.00;4290.42
17759;17.00;21841.04
17794;7.00;23271.16
18168;9.00;11180.52
18290-26;8.00;17235.59
18371;9.00;25351.15
18453;9.00;9100.37
18620-20;0.00;470169.34
19-00-100;0.00;1474447.64
19-00-114;2.00;426101.78
19-00-299;0.00;61349.20
19-01-200;0.00;2637773.49
19075;42.00;10205.53
19094;14.00;30161.25
19-10-010;1.00;723696.77
19-10-310;0.00;1650312.26
19-10-900;1.00;5816628.62
19-11-120;0.00;1460920.59
19-11-220;0.00;1190379.84
19-11-320;0.00;1947881.24
19-13-000;0.00;716933.24
19-13-012;0.00;3845.31
19-13-022;0.00;20303.86
19-20-200;1.00;1163325.72
19-20-300;2.00;1555609.98
19-21-220;0.00;1420339.42
19232;36.00;10725.49
19281;-1.00;14300.68
19282;-1.00;20541.12
19283;3.00;21451.13
19286;2.00;24051.32
19-30-999;2.00;1555609.98
19-31-020;0.00;1203920.02
19-40-000;1.00;338176.16
19-40-101;5.00;168875.82
19-40-900;4.00;311060.68
19-50-000;0.00;2619570.91
19588T;15.00;16640.82
19-60-020;0.00;2029056.45
19656;16.00;13390.73
19679;49.00;2079.97
19915;59.00;26651.15
20073;29.00;8450.23
20214;1.00;7800.54
20533;-1.00;13636.00
20567;48.00;7930.26
20-90-150;0.00;68241.59
20-90-200;0.00;79608.19
210/C;9.00;146977.23
21-003;356.00;34102.65
21004;5.00;19646.39
21382;21.00;3900.18
21455;19.00;4550.40
21607;214.00;4680.20
21625;145.00;6500.37
21800;4.00;12740.51
2212JB;0.00;148420.83
222025;205.00;7685.07
222025E;458.00;7006.40
22454;107.00;188730.91
22506;8.00;11389.60
23050;15.00;5070.28
24004;3.00;10515.69
24055;12.00;2340.26
24-12-350;0.00;91290.42
24-12-400;0.00;125632.18
24-12-500;1.00;306775.32
24232;16.00;9576.00
24235;82.00;8580.45
25097;0.00;6795.98
26003;55.00;2562.61
26004;0.00;8766.70
26007;21.00;7280.18
2607017333;0.00;55255.05
2607017396;0.00;49709.73
2607017397;0.00;99794.60
2607017467;13.00;75964.45
2607017473;0.00;162831.72
270;6.00;55516.63
28152;48.00;8970.58
310.18.325;23.80;15790.85
310.18.400;0.00;13962.09
310.200;209.00;18689.21
310.250;998.90;12967.84
310.400;70.00;13061.41
32005;5.00;18099.19
332026;-1.00;1970.96
33D-325H;40.00;21909.11
34D-3/8APH;54.00;20012.43
36D-325H;7.00;21025.09
3710JB;0.00;542962.83
41024;28.00;45450.14
42005;0.00;30003.37
4380JB;-2.00;87735.26
4400JB;0.00;102122.35
44443;7.00;16770.93
4550JB;0.00;132326.51
46D-404APH;26.00;30572.69
49-00-153;0.00;1908731.58
49-10-403;0.00;687055.60
49-10-880;0.00;4579626.34
49-10-965;0.00;2502503.06
5000;6.00;257240.48
5001;3.00;217450.75
5007;4.00;469023.37
5015979-02;0.00;14251.60
5016529-01;0.00;208783.48
5018071-05;44.00;8939.88
5018315-04;108.00;42337.69
5019580-84;0.00;95851.21
5019581-92;0.00;167653.52
5019592-52;-1.00;30335.79
5019595-45;5.00;29322.97
50719223;243.00;6732.78
50719226;4.00;6732.78
50719301;220.00;20278.50
50719503;447.00;32316.04
50719504;448.00;32316.04
516;0.00;380536.65
52006;15.00;35830.18
5200JB;0.00;157966.06
5300470-61;15.00;16873.93
5374444-01;12.00;28020.79
5448054-02;33.00;12086.62
5448054-03;-1.00;16178.52
5450618-01;-12.00;7046.77
5752691-03;47.00;14740.68
5774192-01;5.00;5300.73
5780979-01;68.00;13590.14
5818079-45;0.00;24605.86
5820753-72;18.00;42553.39
5820869-64;4.00;53180.84
5859434-68;22.00;52490.48
5882664-01;8.00;67432.53
6004L;9.00;68668.04
6005L;5.00;127788.18
6006L;5.00;135691.87
6051990;-2.00;13012.59
6520JB;1.00;279274.40
7232JB;0.00;94842.61
7351JB;0.00;156464.94
8003JB;0.00;82210.18
8003JF;0.00;109784.00
8100B-G600;1462.00;73714.00
82004;0.00;27910.42
84004;7.00;39107.10
9004JR;0.00;80863.13
9051JB;4.00;191940.70
9071JF;0.00;294221.91
91003;27.00;10767.55
91004;3.00;40129.02
91103;34.00;10767.77
91104;6.00;40129.02
91303;25.00;10767.85
91304;9.00;40129.02
24223;18.00;70202.99
24233;69.00;11302.83
24234;23.00;5980.22
25003;16.00;2663.46
25004;0.00;9138.17
25104;0.00;21112.04
2511JH;0.00;277146.18
26008;17.00;3900.12
2607017314;0.00;61068.96
2607017470;-1.00;75964.45
26100;10.00;18200.88
26D-3/8BPH;6.00;18324.55
28D-3/8BPH;73.00;19594.61
310.18.250;33.70;17663.74
310.325;84.00;11637.02
32006;19.00;33662.59
322125;3.00;11378.48
3310JB;0.00;663498.03
3311JB;0.00;845349.74
3610JB;0.00;765636.62
4059952565415;8.00;817111.35
42D-3/8APH;10.00;25284.75
44441;7.00;10140.62
4751JB;0.00;212575.28
48003;53.00;8835.75
48004;6.00;30893.33
49-00-141;0.00;859742.12
49-00-157;0.00;3813050.04
49-00-502;0.00;1634815.13
49-00-602;0.00;1526533.28
4900JB;0.00;407580.32
49-10-220;0.00;2285912.69
49-10-780;0.00;5494382.80
49-20-050;0.00;17125262.74
5004;1.00;364831.55
5005;0.00;342154.64
5016542-01;0.00;251695.90
5019592-56;-5.00;42594.59
5034539-02;50.00;21259.34
5036259-03;12.00;31767.62
5038981-01;72.00;11461.62
5054415-01;6.00;17403.30
50719224;29.00;6732.78
5230826-01;14.00;17573.52
5372557-03;77.00;11332.18
5372916-04;105.00;20629.35
5402JF;0.00;196830.46
5440808-03;59.00;11332.18
56D-3/8APH;0.00;39058.79
5740204-01;0.00;13288.16
5742237-02;56.00;5841.44
5747185-01;19.00;19510.49
5780370-03;-16.00;22009.59
5784001-72;0.00;42006.92
5820753-66;15.00;57293.92
5859432-66;1.00;0.00
5859508-68;21.00;66656.78
5869806-01;5.00;23541.74
5882660-01;3.00;59221.03
5882670-01;0.00;113595.63
5882671-01;2.00;262381.30
5939141-59;0.00;30818.46
5939143-59;0.00;58501.75
6046950;0.00;13125.57
6555JB;1.00;118874.79
6600JB;0.00;101345.75
7640JB;0.00;237233.34
8005JF;-1.00;186708.34
82003;17.00;8050.24
84003;16.00;10849.66
8416;13.00;26119.35
90003;34.00;10767.60
90004;0.00;40128.98
9002JR;0.00;81660.81
9010637;0.00;128081.86
965173604;1.00;3905781.50
967623603;0.00;594380.81
990001;29.00;100261.01
990002;22.00;131473.19
991464;62.00;11659.72
991466;9.00;13207.25
991557;46.00;7042.61
991591;10.00;17762.09
991593;17.00;29406.36
991811;132.00;4679.90
991813;125.00;5155.68
991998;4.00;21045.59
992100;59.00;25340.34
992101;77.00;25340.33
992108;0.00;27874.38
992110;31.00;25340.33
992111;34.00;25340.33
992120;52.00;25340.35
967623601;0.00;84977.36
967623602;0.00;122511.60
991512;10.00;30353.49
991542;1.00;10875.35
991592;24.00;25378.47
991812;0.00;4975.57
991884;0.00;24944.98
991901;67.00;16118.57
991903;10.00;19497.43
992117;0.00;27874.36
992237;38.00;30841.10
992832;3.00;17181.49
992852;22.00;15296.58
992855;0.00;8460.82
992857;0.00;15296.59
992861;41.00;32668.45
992862;20.00;41947.55
992863;2.00;60678.26
992864;1.00;77434.20
992865;6.00;93116.59
993100;1.00;12251.72
994502;32.00;3075.84
994507;152.00;4119.77
994508;17.00;4319.95
